0, 1, 2
0, 1, 3
0, 2, 4
1, 3, 4
0, 4, 5
1, 2, 3
0, 1, 2
0, 1, 3
0, 3, 4
1, 2, 4
0, 4, 5
1, 2, 3
0, 1, 2
0, 1, 3
2, 4, 5
3, 6, 7
2, 3, 6
4, 5, 6
0, 1, 2
0, 2, 3
1, 4, 5
3, 4, 6
1, 3, 5
4, 6, 7
0, 1, 2
0, 2, 3
1, 4, 5
3, 4, 6
1, 3, 6
4, 5, 7
0, 1, 2
0, 3, 4
1, 2, 3
4, 5, 6
1, 3, 6
5, 6, 7
0, 1, 2
0, 3, 4
1, 2, 4
3, 5, 6
1, 4, 6
5, 6, 7
0, 1, 2
0, 3, 4
1, 2, 5
3, 6, 7
1, 3, 5
5, 6, 7
0, 1, 2
0, 3, 4
1, 5, 6
2, 3, 4
2, 4, 5
5, 6, 7
0, 1, 2
1, 2, 3
0, 2, 4
2, 3, 5
0, 4, 5
1, 2, 5
0, 1, 2
1, 3, 4
0, 2, 4
0, 3, 4
0, 3, 5
1, 2, 4
0, 1, 2
1, 3, 4
0, 5, 6
1, 3, 7
0, 4, 6
1, 2, 4
0, 1, 2
1, 3, 4
0, 5, 6
3, 6, 7
0, 4, 6
1, 2, 3
0, 1, 2
1, 3, 4
1, 2, 5
1, 3, 5
0, 3, 5
1, 2, 4
0, 1, 2
2, 3, 4
0, 1, 4
3, 5, 6
0, 4, 7
5, 6, 7
0, 1, 2
2, 3, 4
0, 1, 5
2, 4, 5
0, 5, 6
1, 2, 4
0, 1, 2
2, 3, 4
1, 2, 5
3, 5, 6
0, 3, 7
1, 2, 4
0, 1, 2
2, 3, 4
1, 3, 4
1, 5, 6
0, 5, 7
1, 2, 3
0, 1, 2
3, 4, 5
0, 1, 5
2, 3, 5
0, 6, 7
1, 2, 3
0, 1, 2
3, 4, 5
0, 2, 4
4, 6, 7
0, 6, 7
1, 2, 4
